2019-01-21T06:48:26.481Z - info: Website generation started at 2:48:23 PM
2019-01-21T07:20:38.739Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\admin\te3201-admin.md
2019-01-21T07:20:38.740Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\programs\text.md
2019-01-21T07:20:38.740Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\environment\text.md
2019-01-21T07:20:38.740Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\shell\text.md
2019-01-21T07:20:38.740Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\operators\text.md
2019-01-21T07:20:38.741Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\types\text.md
2019-01-21T07:20:38.741Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\variables\text.md
2019-01-21T07:20:38.741Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\scripts\text.md
2019-01-21T07:20:38.741Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\comments\text.md
2019-01-21T07:20:38.741Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\usingFunctions\text.md
2019-01-21T07:20:38.742Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\schedule\week1\topics.md
2019-01-21T07:20:38.742Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-inheritance\text.md
2019-01-21T07:20:38.742Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\book\oop\inheritance\overriding\exercises.fr
2019-01-21T07:20:38.742Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\unittesting\text.md
2019-01-21T07:20:38.742Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\functions-def\text.md
2019-01-21T07:20:38.742Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\functions-parameters\text.md
2019-01-21T07:20:38.743Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\functions-return\text.md
2019-01-21T07:20:38.743Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\functions-scope\text.md
2019-01-21T07:20:38.743Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-intro\text.md
2019-01-21T07:20:38.743Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\objectReferences\text.md
2019-01-21T07:20:38.743Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-workingWith\text.md
2019-01-21T07:20:38.744Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\methods\text.md
2019-01-21T07:20:38.745Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-methods\text.md
2019-01-21T07:20:38.745Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-intro\text.md
2019-01-21T07:20:38.745Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-workingWith\text.md
2019-01-21T07:20:38.745Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-nested\text.md
2019-01-21T07:20:38.746Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-literals\text.md
2019-01-21T07:20:38.746Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-workingWith\text.md
2019-01-21T07:20:38.746Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-methods\text.md
2019-01-21T07:20:38.746Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\files-paths\text.md
2019-01-21T07:20:38.746Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\files-reading\text.md
2019-01-21T07:20:38.746Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\files-writing\text.md
2019-01-21T07:20:38.747Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\files-csv\text.md
2019-01-21T07:20:38.747Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\errors-intro\text.md
2019-01-21T07:20:38.747Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\errors-syntax\text.md
2019-01-21T07:20:38.747Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\errors-exceptions-handling\text.md
2019-01-21T07:20:38.747Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\errors-exceptions-raising\text.md
2019-01-21T07:20:38.748Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-classes\text.md
2019-01-21T07:20:38.748Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-classLevelMembers\text.md
2019-01-21T07:20:38.748Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-visibility\text.md
2019-01-21T07:20:38.748Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\thirdparty\text.md
